med.orarie NO2 [ug/m3] staz.** GIARDINI MARGHERITA

aaaa mm gg hh        NO2
2014 02 01 13       70.0
2014 02 01 14       71.0
2014 02 01 15       73.0
2014 02 01 16       76.0
2014 02 01 17       80.0
2014 02 01 18       80.0
2014 02 01 19       74.0
2014 02 01 20       70.0
2014 02 01 21       68.0
2014 02 01 22       69.0
2014 02 01 23       67.0
2014 02 02 00       69.0
2014 02 02 01    -9999.0
2014 02 02 02       68.0
2014 02 02 03       65.0
2014 02 02 04       65.0
2014 02 02 05       66.0
2014 02 02 06       63.0
2014 02 02 07       59.0
2014 02 02 08       61.0
2014 02 02 09       59.0
2014 02 02 10       58.0
2014 02 02 11       54.0
2014 02 02 12       50.0
2014 02 02 13       57.0
2014 02 02 14       55.0
2014 02 02 15       54.0
2014 02 02 16       55.0
2014 02 02 17       57.0
2014 02 02 18       57.0
2014 02 02 19       55.0
2014 02 02 20       57.0
2014 02 02 21       59.0
2014 02 02 22       50.0
2014 02 02 23       48.0
2014 02 03 00       45.0
2014 02 03 01    -9999.0
2014 02 03 02       45.0
2014 02 03 03       51.0
2014 02 03 04       54.0
2014 02 03 05       60.0
2014 02 03 06       64.0
2014 02 03 07       65.0
2014 02 03 08       65.0
2014 02 03 09       70.0
2014 02 03 10       69.0
2014 02 03 11       71.0
2014 02 03 12       40.0
2014 02 03 13       50.0
2014 02 03 14       52.0
2014 02 03 15       53.0
2014 02 03 16       60.0
2014 02 03 17       74.0
2014 02 03 18       78.0
2014 02 03 19       79.0
2014 02 03 20       79.0
2014 02 03 21       78.0
2014 02 03 22       73.0
2014 02 03 23       65.0
2014 02 04 00       66.0
2014 02 04 01    -9999.0
2014 02 04 02       64.0
2014 02 04 03       63.0
2014 02 04 04       63.0
2014 02 04 05       58.0
2014 02 04 06       59.0
2014 02 04 07       63.0
2014 02 04 08       67.0
2014 02 04 09       69.0
2014 02 04 10       67.0
2014 02 04 11       62.0
2014 02 04 12       65.0
2014 02 04 13       63.0
2014 02 04 14       64.0
2014 02 04 15       66.0
2014 02 04 16       67.0
2014 02 04 17       72.0
2014 02 04 18       73.0
2014 02 04 19       74.0
2014 02 04 20       76.0
2014 02 04 21       79.0
2014 02 04 22       78.0
2014 02 04 23       74.0
2014 02 05 00       70.0
2014 02 05 01    -9999.0
