med.orarie NO2 [ug/m3] staz.** FEBBIO

aaaa mm gg hh        NO2
2014 01 14 13        2.2
2014 01 14 14        1.7
2014 01 14 15        2.7
2014 01 14 16        3.4
2014 01 14 17        5.6
2014 01 14 18        8.8
2014 01 14 19        9.9
2014 01 14 20        7.8
2014 01 14 21        4.3
2014 01 14 22        2.8
2014 01 14 23        2.3
2014 01 15 00        2.1
2014 01 15 01        2.0
2014 01 15 02        2.0
2014 01 15 03        2.1
2014 01 15 04    -9999.0
2014 01 15 05        2.0
2014 01 15 06        2.1
2014 01 15 07        2.1
2014 01 15 08        2.9
2014 01 15 09        3.3
2014 01 15 10        2.6
2014 01 15 11        2.6
2014 01 15 12        2.5
2014 01 15 13        2.4
2014 01 15 14        3.2
2014 01 15 15        3.8
2014 01 15 16        4.2
2014 01 15 17        4.4
2014 01 15 18        6.7
2014 01 15 19        4.1
2014 01 15 20        3.9
2014 01 15 21        3.1
2014 01 15 22        2.5
2014 01 15 23        2.6
2014 01 16 00        2.1
2014 01 16 01        2.1
2014 01 16 02        2.1
2014 01 16 03        1.9
2014 01 16 04    -9999.0
2014 01 16 05        2.1
2014 01 16 06        2.2
2014 01 16 07        2.2
2014 01 16 08        2.8
2014 01 16 09        3.7
2014 01 16 10        4.0
2014 01 16 11        3.1
2014 01 16 12        2.5
2014 01 16 13        2.4
2014 01 16 14        2.6
2014 01 16 15        3.1
2014 01 16 16        2.9
2014 01 16 17        3.1
2014 01 16 18        2.8
2014 01 16 19        3.1
2014 01 16 20        3.4
2014 01 16 21        2.3
2014 01 16 22        2.9
2014 01 16 23        2.8
2014 01 17 00        1.6
2014 01 17 01        1.5
2014 01 17 02        1.4
2014 01 17 03        1.2
2014 01 17 04    -9999.0
2014 01 17 05        1.5
2014 01 17 06        1.4
2014 01 17 07        1.3
2014 01 17 08        1.5
2014 01 17 09        1.6
2014 01 17 10        1.9
2014 01 17 11        2.4
2014 01 17 12        2.8
2014 01 17 13        3.5
2014 01 17 14        2.2
2014 01 17 15        2.1
2014 01 17 16        2.2
2014 01 17 17        1.8
2014 01 17 18        2.8
2014 01 17 19        1.6
2014 01 17 20        1.7
