med.orarie NO2 [ug/m3] staz.** VILLA FULVIA

aaaa mm gg hh        NO2
2014 01 19 19       42.0
2014 01 19 20       49.0
2014 01 19 21       49.0
2014 01 19 22       47.0
2014 01 19 23       44.0
2014 01 20 00       43.0
2014 01 20 01       44.0
2014 01 20 02       42.0
2014 01 20 03    -9999.0
2014 01 20 04       41.0
2014 01 20 05       43.0
2014 01 20 06       45.0
2014 01 20 07       44.0
2014 01 20 08       45.0
2014 01 20 09       44.0
2014 01 20 10       43.0
2014 01 20 11       37.0
2014 01 20 12       37.0
2014 01 20 13       31.0
2014 01 20 14       37.0
2014 01 20 15       39.0
2014 01 20 16       41.0
2014 01 20 17       42.0
2014 01 20 18       46.0
2014 01 20 19       50.0
2014 01 20 20       46.0
2014 01 20 21       42.0
2014 01 20 22       43.0
2014 01 20 23       44.0
2014 01 21 00       45.0
2014 01 21 01       45.0
2014 01 21 02       44.0
2014 01 21 03    -9999.0
2014 01 21 04       47.0
2014 01 21 05       47.0
2014 01 21 06       43.0
2014 01 21 07       43.0
2014 01 21 08       46.0
2014 01 21 09       48.0
2014 01 21 10       44.0
2014 01 21 11       34.0
2014 01 21 12       34.0
2014 01 21 13       32.0
2014 01 21 14       33.0
2014 01 21 15       35.0
2014 01 21 16       44.0
2014 01 21 17       48.0
2014 01 21 18       55.0
2014 01 21 19       60.0
2014 01 21 20       62.0
2014 01 21 21       61.0
2014 01 21 22       59.0
2014 01 21 23       57.0
2014 01 22 00       56.0
2014 01 22 01       53.0
2014 01 22 02       49.0
2014 01 22 03    -9999.0
2014 01 22 04       46.0
2014 01 22 05       45.0
2014 01 22 06       40.0
2014 01 22 07       47.0
2014 01 22 08       52.0
2014 01 22 09       56.0
2014 01 22 10       59.0
2014 01 22 11       65.0
2014 01 22 12       64.0
2014 01 22 13       52.0
2014 01 22 14       42.0
2014 01 22 15       37.0
2014 01 22 16       43.0
2014 01 22 17       54.0
2014 01 22 18       61.0
2014 01 22 19       65.0
2014 01 22 20       78.0
2014 01 22 21       74.0
2014 01 22 22       72.0
2014 01 22 23       67.0
2014 01 23 00       55.0
2014 01 23 01       59.0
2014 01 23 02       55.0
2014 01 23 03    -9999.0
2014 01 23 04       51.0
2014 01 23 05       47.0
2014 01 23 06       46.0
2014 01 23 07       48.0
2014 01 23 08       50.0
