med.orarie NO2 [ug/m3] staz.** BESENZONE

aaaa mm gg hh        NO2
2014 01 17 11    -9999.0
2014 01 17 12    -9999.0
2014 01 17 13       40.0
2014 01 17 14       40.0
2014 01 17 15       42.0
2014 01 17 16       42.0
2014 01 17 17       42.0
2014 01 17 18       40.0
2014 01 17 19       42.0
2014 01 17 20       42.0
2014 01 17 21       44.0
2014 01 17 22       43.0
2014 01 17 23       42.0
2014 01 18 00       42.0
2014 01 18 01       41.0
2014 01 18 02    -9999.0
2014 01 18 03       39.0
2014 01 18 04       37.0
2014 01 18 05       35.0
2014 01 18 06       35.0
2014 01 18 07       35.0
2014 01 18 08       34.0
2014 01 18 09       32.0
2014 01 18 10       33.0
2014 01 18 11       34.0
2014 01 18 12       36.0
2014 01 18 13       37.0
2014 01 18 14       35.0
2014 01 18 15       32.0
2014 01 18 16       34.0
2014 01 18 17       36.0
2014 01 18 18       36.0
2014 01 18 19       34.0
2014 01 18 20       34.0
2014 01 18 21       34.0
2014 01 18 22       32.0
2014 01 18 23       32.0
2014 01 19 00       33.0
2014 01 19 01       33.0
2014 01 19 02    -9999.0
2014 01 19 03       30.0
2014 01 19 04       29.0
2014 01 19 05       30.0
2014 01 19 06       30.0
2014 01 19 07       29.0
2014 01 19 08       29.0
2014 01 19 09       22.0
2014 01 19 10       17.0
2014 01 19 11       16.0
2014 01 19 12       17.0
2014 01 19 13       19.0
2014 01 19 14       22.0
2014 01 19 15       27.0
2014 01 19 16       30.0
2014 01 19 17       30.0
2014 01 19 18       34.0
2014 01 19 19       34.0
2014 01 19 20       37.0
2014 01 19 21       39.0
2014 01 19 22       37.0
2014 01 19 23       31.0
2014 01 20 00       31.0
2014 01 20 01       34.0
2014 01 20 02    -9999.0
2014 01 20 03       32.0
2014 01 20 04       31.0
2014 01 20 05       29.0
2014 01 20 06       28.0
2014 01 20 07       28.0
2014 01 20 08       27.0
2014 01 20 09       28.0
2014 01 20 10       28.0
2014 01 20 11       28.0
2014 01 20 12       24.0
2014 01 20 13       24.0
2014 01 20 14       20.0
2014 01 20 15       26.0
2014 01 20 16       23.0
2014 01 20 17       20.0
2014 01 20 18       27.0
2014 01 20 19       30.0
2014 01 20 20       28.0
2014 01 20 21       29.0
2014 01 20 22       40.0
2014 01 20 23       37.0
2014 01 21 00       35.0
2014 01 21 01       34.0
2014 01 21 02    -9999.0
2014 01 21 03       36.0
2014 01 21 04       34.0
2014 01 21 05       30.0
2014 01 21 06       29.0
2014 01 21 07       27.0
2014 01 21 08       23.0
2014 01 21 09       20.0
2014 01 21 10       23.0
2014 01 21 11       37.0
2014 01 21 12       20.0
2014 01 21 13       15.0
2014 01 21 14       18.0
2014 01 21 15       18.0
2014 01 21 16       20.0
2014 01 21 17       22.0
2014 01 21 18       27.0
2014 01 21 19       32.0
2014 01 21 20       29.0
2014 01 21 21       25.0
2014 01 21 22       30.0
2014 01 21 23       28.0
2014 01 22 00       24.0
2014 01 22 01       19.0
2014 01 22 02    -9999.0
2014 01 22 03       16.0
2014 01 22 04       14.0
2014 01 22 05       14.0
2014 01 22 06       16.0
2014 01 22 07       16.0
2014 01 22 08       22.0
2014 01 22 09       22.0
2014 01 22 10       26.0
2014 01 22 11       38.0
2014 01 22 12       44.0
2014 01 22 13       46.0
2014 01 22 14       47.0
2014 01 22 15       48.0
2014 01 22 16       48.0
2014 01 22 17       45.0
2014 01 22 18       39.0
2014 01 22 19       44.0
2014 01 22 20       39.0
2014 01 22 21       34.0
2014 01 22 22       32.0
2014 01 22 23       29.0
2014 01 23 00       33.0
2014 01 23 01       26.0
2014 01 23 02    -9999.0
2014 01 23 03       23.0
2014 01 23 04       26.0
2014 01 23 05       24.0
2014 01 23 06       23.0
2014 01 23 07       27.0
2014 01 23 08       31.0
2014 01 23 09       30.0
2014 01 23 10       30.0
2014 01 23 11       35.0
2014 01 23 12       25.0
2014 01 23 13       25.0
2014 01 23 14       24.0
2014 01 23 15       19.0
2014 01 23 16       25.0
2014 01 23 17       29.0
2014 01 23 18       40.0
2014 01 23 19       50.0
2014 01 23 20       44.0
2014 01 23 21       46.0
2014 01 23 22       47.0
2014 01 23 23       44.0
2014 01 24 00       40.0
2014 01 24 01       37.0
