med.orarie NO2 [ug/m3] staz.** BALLIRANA

aaaa mm gg hh        NO2
2014 01 20 02       27.0
2014 01 20 03       30.0
2014 01 20 04       32.0
2014 01 20 05       32.0
2014 01 20 06       33.0
2014 01 20 07       31.0
2014 01 20 08       31.0
2014 01 20 09       30.0
2014 01 20 10       28.0
2014 01 20 11       26.0
2014 01 20 12       24.0
2014 01 20 13       24.0
2014 01 20 14       23.0
2014 01 20 15       24.0
2014 01 20 16       27.0
2014 01 20 17       29.0
2014 01 20 18       31.0
2014 01 20 19       31.0
2014 01 20 20       29.0
2014 01 20 21       28.0
2014 01 20 22       30.0
2014 01 20 23       32.0
2014 01 21 00       29.0
2014 01 21 01       27.0
2014 01 21 02       31.0
2014 01 21 03       35.0
2014 01 21 04       35.0
2014 01 21 05       38.0
2014 01 21 06       37.0
2014 01 21 07       36.0
2014 01 21 08       36.0
2014 01 21 09       33.0
2014 01 21 10       27.0
2014 01 21 11       23.0
2014 01 21 12       15.0
2014 01 21 13       15.0
2014 01 21 14       14.0
2014 01 21 15       13.0
2014 01 21 16       17.0
2014 01 21 17       23.0
2014 01 21 18       22.0
2014 01 21 19       21.0
2014 01 21 20       20.0
2014 01 21 21       30.0
2014 01 21 22       31.0
2014 01 21 23       28.0
2014 01 22 00       24.0
2014 01 22 01       29.0
2014 01 22 02       29.0
2014 01 22 03       27.0
2014 01 22 04       24.0
2014 01 22 05       19.0
2014 01 22 06       15.0
2014 01 22 07       11.0
2014 01 22 08       14.0
2014 01 22 09       14.0
2014 01 22 10       16.0
2014 01 22 11       24.0
2014 01 22 12       27.0
2014 01 22 13       21.0
2014 01 22 14       12.0
2014 01 22 15       13.0
2014 01 22 16       15.0
2014 01 22 17       18.0
2014 01 22 18       23.0
2014 01 22 19       24.0
2014 01 22 20       30.0
2014 01 22 21       36.0
2014 01 22 22       30.0
2014 01 22 23       28.0
2014 01 23 00       26.0
2014 01 23 01       25.0
2014 01 23 02       24.0
2014 01 23 03       21.0
2014 01 23 04       22.0
2014 01 23 05       22.0
2014 01 23 06       20.0
2014 01 23 07       19.0
2014 01 23 08       16.0
2014 01 23 09       16.0
2014 01 23 10       22.0
2014 01 23 11       32.0
2014 01 23 12       36.0
2014 01 23 13       30.0
2014 01 23 14       19.0
2014 01 23 15       13.0
2014 01 23 16       12.0
2014 01 23 17       12.0
2014 01 23 18       14.0
2014 01 23 19       32.0
2014 01 23 20       34.0
2014 01 23 21       27.0
2014 01 23 22       25.0
2014 01 23 23       22.0
2014 01 24 00       19.0
2014 01 24 01       19.0
2014 01 24 02       16.0
2014 01 24 03        9.0
2014 01 24 04        7.0
2014 01 24 05        7.0
2014 01 24 06        9.0
2014 01 24 07       10.0
2014 01 24 08       24.0
2014 01 24 09       28.0
2014 01 24 10       22.0
2014 01 24 11       25.0
2014 01 24 12       23.0
2014 01 24 13       19.0
2014 01 24 14       19.0
2014 01 24 15       16.0
2014 01 24 16       18.0
2014 01 24 17       14.0
2014 01 24 18        7.0
2014 01 24 19        6.0
2014 01 24 20        7.0
2014 01 24 21        6.0
2014 01 24 22        6.0
2014 01 24 23        8.0
2014 01 25 00       17.0
2014 01 25 01       17.0
2014 01 25 02       17.0
2014 01 25 03       19.0
2014 01 25 04       22.0
2014 01 25 05       21.0
2014 01 25 06       22.0
2014 01 25 07       25.0
2014 01 25 08       31.0
2014 01 25 09       31.0
2014 01 25 10       26.0
2014 01 25 11       21.0
2014 01 25 12       21.0
2014 01 25 13       13.0
2014 01 25 14       11.0
2014 01 25 15        9.0
2014 01 25 16       10.0
2014 01 25 17       10.0
2014 01 25 18       13.0
2014 01 25 19       17.0
2014 01 25 20       31.0
2014 01 25 21       30.0
2014 01 25 22       38.0
2014 01 25 23       37.0
2014 01 26 00       28.0
2014 01 26 01       22.0
2014 01 26 02       21.0
2014 01 26 03       20.0
2014 01 26 04       20.0
2014 01 26 05       15.0
2014 01 26 06       15.0
2014 01 26 07       12.0
2014 01 26 08       10.0
2014 01 26 09       12.0
2014 01 26 10       14.0
2014 01 26 11       17.0
2014 01 26 12       20.0
2014 01 26 13       22.0
2014 01 26 14       21.0
2014 01 26 15       18.0
2014 01 26 16       13.0
2014 01 26 17       15.0
2014 01 26 18       18.0
2014 01 26 19       17.0
2014 01 26 20       35.0
2014 01 26 21       35.0
2014 01 26 22       46.0
2014 01 26 23       38.0
2014 01 27 00       38.0
2014 01 27 01       37.0
2014 01 27 02       31.0
2014 01 27 03       21.0
2014 01 27 04       25.0
2014 01 27 05       23.0
2014 01 27 06       26.0
2014 01 27 07       27.0
2014 01 27 08       32.0
2014 01 27 09       31.0
2014 01 27 10       25.0
2014 01 27 11       28.0
2014 01 27 12       30.0
2014 01 27 13       24.0
2014 01 27 14       20.0
2014 01 27 15       21.0
2014 01 27 16       25.0
2014 01 27 17       30.0
2014 01 27 18       25.0
2014 01 27 19       20.0
2014 01 27 20       15.0
2014 01 27 21       16.0
2014 01 27 22       11.0
2014 01 27 23       10.0
2014 01 28 00        5.0
2014 01 28 01        2.0
2014 01 28 02        0.0
2014 01 28 03        2.0
2014 01 28 04        1.0
2014 01 28 05        2.0
2014 01 28 06        2.0
2014 01 28 07        4.0
2014 01 28 08        8.0
2014 01 28 09        8.0
2014 01 28 10        9.0
2014 01 28 11       15.0
2014 01 28 12       14.0
2014 01 28 13       17.0
2014 01 28 14       17.0
2014 01 28 15       27.0
2014 01 28 16       33.0
2014 01 28 17       27.0
2014 01 28 18       27.0
2014 01 28 19       32.0
2014 01 28 20       33.0
2014 01 28 21       37.0
2014 01 28 22       35.0
2014 01 28 23       30.0
2014 01 29 00       27.0
2014 01 29 01       29.0
2014 01 29 02       29.0
2014 01 29 03       47.0
2014 01 29 04       31.0
2014 01 29 05       27.0
2014 01 29 06       29.0
2014 01 29 07       34.0
2014 01 29 08       37.0
2014 01 29 09       39.0
2014 01 29 10    -9999.0
2014 01 29 11       24.0
2014 01 29 12       20.0
2014 01 29 13       17.0
2014 01 29 14       12.0
2014 01 29 15       13.0
2014 01 29 16       10.0
2014 01 29 17        9.0
2014 01 29 18       10.0
2014 01 29 19       13.0
2014 01 29 20        8.0
2014 01 29 21        7.0
2014 01 29 22        7.0
2014 01 29 23        8.0
2014 01 30 00        8.0
2014 01 30 01        7.0
2014 01 30 02        7.0
2014 01 30 03        7.0
2014 01 30 04        6.0
2014 01 30 05        6.0
2014 01 30 06        4.0
2014 01 30 07        4.0
2014 01 30 08        4.0
2014 01 30 09        5.0
2014 01 30 10        8.0
2014 01 30 11       10.0
2014 01 30 12       14.0
2014 01 30 13       29.0
2014 01 30 14       32.0
2014 01 30 15       28.0
2014 01 30 16       30.0
2014 01 30 17       36.0
2014 01 30 18       33.0
2014 01 30 19       23.0
2014 01 30 20       25.0
2014 01 30 21       19.0
2014 01 30 22       23.0
2014 01 30 23       24.0
2014 01 31 00       26.0
2014 01 31 01       27.0
2014 01 31 02       22.0
2014 01 31 03       44.0
2014 01 31 04       45.0
2014 01 31 05       45.0
2014 01 31 06       43.0
2014 01 31 07       40.0
2014 01 31 08       41.0
2014 01 31 09       36.0
2014 01 31 10       33.0
2014 01 31 11       32.0
2014 01 31 12       32.0
2014 01 31 13       31.0
2014 01 31 14       28.0
2014 01 31 15       27.0
2014 01 31 16       29.0
2014 01 31 17       30.0
2014 01 31 18       32.0
2014 01 31 19       33.0
2014 01 31 20       34.0
2014 01 31 21       34.0
2014 01 31 22       36.0
2014 01 31 23       40.0
2014 02 01 00       41.0
2014 02 01 01       32.0
2014 02 01 02       24.0
2014 02 01 03       23.0
2014 02 01 04       17.0
2014 02 01 05       14.0
2014 02 01 06       16.0
2014 02 01 07       14.0
2014 02 01 08       13.0
2014 02 01 09       18.0
2014 02 01 10       20.0
2014 02 01 11       21.0
2014 02 01 12       24.0
2014 02 01 13       25.0
2014 02 01 14       25.0
2014 02 01 15       26.0
2014 02 01 16       28.0
2014 02 01 17       29.0
2014 02 01 18       28.0
2014 02 01 19       28.0
2014 02 01 20       26.0
2014 02 01 21       24.0
2014 02 01 22       22.0
2014 02 01 23       20.0
2014 02 02 00       18.0
2014 02 02 01       17.0
2014 02 02 02       20.0
2014 02 02 03       24.0
