med.orarie NO2 [ug/m3] staz.** SAN PIETRO CAPOFIUME

aaaa mm gg hh        NO2
2014 01 15 21       25.0
2014 01 15 22       24.0
2014 01 15 23       20.0
2014 01 16 00       20.0
2014 01 16 01       25.0
2014 01 16 02    -9999.0
2014 01 16 03       27.0
2014 01 16 04       28.0
2014 01 16 05       26.0
2014 01 16 06       24.0
2014 01 16 07       23.0
2014 01 16 08       24.0
2014 01 16 09       26.0
2014 01 16 10       23.0
2014 01 16 11       20.0
2014 01 16 12       20.0
2014 01 16 13       19.0
2014 01 16 14       18.0
2014 01 16 15       18.0
2014 01 16 16       20.0
2014 01 16 17       18.0
2014 01 16 18       23.0
2014 01 16 19       25.0
2014 01 16 20       25.0
2014 01 16 21       22.0
2014 01 16 22       19.0
2014 01 16 23       16.0
2014 01 17 00       16.0
2014 01 17 01       16.0
2014 01 17 02    -9999.0
2014 01 17 03       17.0
2014 01 17 04       15.0
2014 01 17 05       12.0
2014 01 17 06       14.0
2014 01 17 07       15.0
2014 01 17 08       15.0
2014 01 17 09       14.0
2014 01 17 10       14.0
2014 01 17 11       16.0
2014 01 17 12       17.0
2014 01 17 13       26.0
2014 01 17 14       28.0
2014 01 17 15       29.0
2014 01 17 16       32.0
2014 01 17 17       34.0
2014 01 17 18       38.0
2014 01 17 19       38.0
2014 01 17 20       40.0
2014 01 17 21       40.0
2014 01 17 22       40.0
2014 01 17 23       41.0
2014 01 18 00       42.0
2014 01 18 01       43.0
2014 01 18 02    -9999.0
2014 01 18 03       41.0
2014 01 18 04       41.0
2014 01 18 05       40.0
2014 01 18 06       38.0
2014 01 18 07       37.0
2014 01 18 08       38.0
2014 01 18 09       37.0
2014 01 18 10       36.0
2014 01 18 11       36.0
2014 01 18 12       35.0
2014 01 18 13       34.0
2014 01 18 14       32.0
2014 01 18 15       33.0
2014 01 18 16       35.0
2014 01 18 17       36.0
2014 01 18 18       35.0
2014 01 18 19       34.0
2014 01 18 20       32.0
2014 01 18 21       36.0
2014 01 18 22       33.0
2014 01 18 23       32.0
2014 01 19 00       33.0
2014 01 19 01       33.0
2014 01 19 02    -9999.0
2014 01 19 03       35.0
2014 01 19 04       35.0
2014 01 19 05       37.0
2014 01 19 06       36.0
2014 01 19 07       36.0
2014 01 19 08       33.0
2014 01 19 09       34.0
2014 01 19 10       31.0
2014 01 19 11       28.0
2014 01 19 12       27.0
2014 01 19 13       26.0
2014 01 19 14       26.0
2014 01 19 15       30.0
2014 01 19 16       33.0
2014 01 19 17       31.0
2014 01 19 18       31.0
2014 01 19 19       30.0
2014 01 19 20       28.0
2014 01 19 21       34.0
2014 01 19 22       35.0
2014 01 19 23       29.0
2014 01 20 00       30.0
2014 01 20 01       27.0
2014 01 20 02    -9999.0
2014 01 20 03       29.0
2014 01 20 04       32.0
2014 01 20 05       32.0
2014 01 20 06       33.0
2014 01 20 07       31.0
2014 01 20 08       31.0
2014 01 20 09       29.0
2014 01 20 10       26.0
2014 01 20 11       27.0
2014 01 20 12       26.0
2014 01 20 13       24.0
2014 01 20 14       25.0
2014 01 20 15       27.0
2014 01 20 16       27.0
2014 01 20 17       30.0
2014 01 20 18       33.0
2014 01 20 19       31.0
2014 01 20 20       31.0
2014 01 20 21       33.0
2014 01 20 22       33.0
2014 01 20 23       31.0
2014 01 21 00       32.0
2014 01 21 01       35.0
2014 01 21 02    -9999.0
2014 01 21 03       35.0
2014 01 21 04       37.0
2014 01 21 05       35.0
2014 01 21 06       35.0
2014 01 21 07       35.0
2014 01 21 08       35.0
2014 01 21 09       30.0
2014 01 21 10       24.0
2014 01 21 11       17.0
2014 01 21 12       16.0
2014 01 21 13       13.0
2014 01 21 14       14.0
2014 01 21 15       18.0
2014 01 21 16       22.0
2014 01 21 17       27.0
2014 01 21 18       31.0
2014 01 21 19       30.0
2014 01 21 20       34.0
2014 01 21 21       35.0
2014 01 21 22       34.0
2014 01 21 23       30.0
2014 01 22 00       28.0
2014 01 22 01       26.0
2014 01 22 02    -9999.0
2014 01 22 03       24.0
2014 01 22 04       25.0
2014 01 22 05       21.0
2014 01 22 06       20.0
