med.orarie NO2 [ug/m3] staz.** PARCO RESISTENZA

aaaa mm gg hh        NO2
2014 01 20 02       23.0
2014 01 20 03       23.0
2014 01 20 04    -9999.0
2014 01 20 05       22.0
2014 01 20 06       22.0
2014 01 20 07       22.0
2014 01 20 08       23.0
2014 01 20 09       26.0
2014 01 20 10       24.0
2014 01 20 11       23.0
2014 01 20 12       21.0
2014 01 20 13       21.0
2014 01 20 14       20.0
2014 01 20 15       23.0
2014 01 20 16       25.0
2014 01 20 17       25.0
2014 01 20 18       27.0
2014 01 20 19       26.0
2014 01 20 20       26.0
2014 01 20 21       24.0
2014 01 20 22       24.0
2014 01 20 23       25.0
2014 01 21 00       23.0
2014 01 21 01       22.0
2014 01 21 02       21.0
2014 01 21 03       18.0
2014 01 21 04    -9999.0
2014 01 21 05       21.0
2014 01 21 06       27.0
2014 01 21 07       27.0
2014 01 21 08       24.0
2014 01 21 09       22.0
2014 01 21 10       19.0
2014 01 21 11       17.0
2014 01 21 12       21.0
2014 01 21 13       25.0
2014 01 21 14       26.0
2014 01 21 15       26.0
2014 01 21 16       27.0
2014 01 21 17       28.0
2014 01 21 18       38.0
2014 01 21 19       37.0
2014 01 21 20       30.0
2014 01 21 21       28.0
2014 01 21 22       26.0
2014 01 21 23       21.0
2014 01 22 00       18.0
2014 01 22 01       17.0
2014 01 22 02       15.0
2014 01 22 03       15.0
2014 01 22 04    -9999.0
2014 01 22 05       13.0
2014 01 22 06       15.0
2014 01 22 07       18.0
2014 01 22 08       21.0
2014 01 22 09       29.0
2014 01 22 10       30.0
2014 01 22 11       24.0
2014 01 22 12       18.0
2014 01 22 13       18.0
2014 01 22 14       23.0
2014 01 22 15       24.0
2014 01 22 16       24.0
2014 01 22 17       34.0
2014 01 22 18       41.0
2014 01 22 19       42.0
2014 01 22 20       40.0
2014 01 22 21       42.0
2014 01 22 22       38.0
2014 01 22 23       33.0
2014 01 23 00       28.0
2014 01 23 01       27.0
2014 01 23 02       24.0
2014 01 23 03       16.0
2014 01 23 04    -9999.0
2014 01 23 05       14.0
2014 01 23 06       16.0
2014 01 23 07       28.0
2014 01 23 08       32.0
2014 01 23 09       33.0
2014 01 23 10       30.0
2014 01 23 11       26.0
2014 01 23 12       19.0
2014 01 23 13       15.0
2014 01 23 14       18.0
2014 01 23 15       15.0
2014 01 23 16       20.0
2014 01 23 17       24.0
2014 01 23 18       37.0
2014 01 23 19       39.0
2014 01 23 20       38.0
2014 01 23 21       42.0
2014 01 23 22       39.0
2014 01 23 23       28.0
2014 01 24 00       30.0
2014 01 24 01       36.0
2014 01 24 02       29.0
2014 01 24 03       23.0
2014 01 24 04    -9999.0
2014 01 24 05       23.0
2014 01 24 06       11.0
2014 01 24 07       14.0
2014 01 24 08       22.0
2014 01 24 09       37.0
2014 01 24 10       27.0
2014 01 24 11       24.0
2014 01 24 12       26.0
2014 01 24 13       31.0
2014 01 24 14       22.0
2014 01 24 15       20.0
2014 01 24 16       16.0
2014 01 24 17       17.0
2014 01 24 18       17.0
2014 01 24 19       19.0
2014 01 24 20       19.0
2014 01 24 21       17.0
2014 01 24 22       12.0
2014 01 24 23       13.0
2014 01 25 00       11.0
2014 01 25 01       14.0
2014 01 25 02       16.0
2014 01 25 03       17.0
2014 01 25 04    -9999.0
2014 01 25 05       20.0
2014 01 25 06       22.0
2014 01 25 07       24.0
2014 01 25 08       30.0
2014 01 25 09       37.0
2014 01 25 10       27.0
2014 01 25 11       18.0
2014 01 25 12       16.0
2014 01 25 13       11.0
2014 01 25 14       10.0
2014 01 25 15       10.0
2014 01 25 16       11.0
2014 01 25 17       16.0
2014 01 25 18       36.0
2014 01 25 19       45.0
2014 01 25 20       34.0
2014 01 25 21       28.0
2014 01 25 22       22.0
2014 01 25 23       23.0
2014 01 26 00       22.0
2014 01 26 01       18.0
2014 01 26 02       14.0
2014 01 26 03       12.0
2014 01 26 04    -9999.0
2014 01 26 05       12.0
2014 01 26 06       17.0
2014 01 26 07       22.0
2014 01 26 08       26.0
2014 01 26 09       21.0
2014 01 26 10       19.0
2014 01 26 11       20.0
2014 01 26 12       17.0
2014 01 26 13       15.0
2014 01 26 14       13.0
2014 01 26 15       15.0
2014 01 26 16       17.0
2014 01 26 17       19.0
2014 01 26 18       38.0
2014 01 26 19       83.0
2014 01 26 20       41.0
2014 01 26 21       30.0
2014 01 26 22       29.0
2014 01 26 23       28.0
2014 01 27 00       29.0
2014 01 27 01       25.0
2014 01 27 02       13.0
2014 01 27 03       13.0
2014 01 27 04    -9999.0
2014 01 27 05       18.0
2014 01 27 06       22.0
2014 01 27 07       27.0
2014 01 27 08       40.0
