med.orarie NO2 [ug/m3] staz.** S. LAZZARO

aaaa mm gg hh        NO2
2014 01 19 11       28.0
2014 01 19 12       27.3
2014 01 19 13       27.8
2014 01 19 14       27.9
2014 01 19 15       27.5
2014 01 19 16       28.9
2014 01 19 17       29.7
2014 01 19 18       30.5
2014 01 19 19       30.5
2014 01 19 20       27.5
2014 01 19 21       29.3
2014 01 19 22       30.0
2014 01 19 23       29.9
2014 01 20 00       29.5
2014 01 20 01       28.0
2014 01 20 02       27.7
2014 01 20 03       27.6
2014 01 20 04       25.9
2014 01 20 05       25.0
2014 01 20 06       27.2
2014 01 20 07       27.5
2014 01 20 08       27.1
2014 01 20 09       30.9
2014 01 20 10       30.5
2014 01 20 11       27.6
2014 01 20 12       30.2
2014 01 20 13       29.6
2014 01 20 14       28.9
2014 01 20 15       31.4
2014 01 20 16       31.7
2014 01 20 17       32.5
2014 01 20 18       33.1
2014 01 20 19       37.9
2014 01 20 20       35.4
2014 01 20 21       32.9
2014 01 20 22       33.8
2014 01 20 23       35.5
2014 01 21 00       32.9
2014 01 21 01       24.9
2014 01 21 02       17.3
2014 01 21 03       14.4
2014 01 21 04       13.7
2014 01 21 05       13.0
2014 01 21 06       20.2
2014 01 21 07       30.8
2014 01 21 08       34.9
2014 01 21 09       35.1
2014 01 21 10       33.6
2014 01 21 11       31.1
2014 01 21 12       23.7
2014 01 21 13       16.4
2014 01 21 14       22.3
2014 01 21 15       27.5
2014 01 21 16       29.5
2014 01 21 17       31.4
2014 01 21 18       39.5
2014 01 21 19       40.6
2014 01 21 20       47.2
2014 01 21 21       47.0
2014 01 21 22       32.8
2014 01 21 23       28.5
2014 01 22 00       26.6
2014 01 22 01       23.4
2014 01 22 02       19.7
2014 01 22 03       18.1
2014 01 22 04       16.8
2014 01 22 05       16.5
2014 01 22 06       14.9
2014 01 22 07       19.3
2014 01 22 08       20.6
2014 01 22 09       21.1
2014 01 22 10       38.6
2014 01 22 11       29.9
2014 01 22 12       25.2
2014 01 22 13       27.0
2014 01 22 14       31.4
2014 01 22 15       40.6
2014 01 22 16       41.9
2014 01 22 17       33.1
2014 01 22 18       44.4
2014 01 22 19       48.2
2014 01 22 20       44.4
2014 01 22 21       47.9
2014 01 22 22       43.1
2014 01 22 23       33.3
2014 01 23 00       28.0
2014 01 23 01       25.4
2014 01 23 02       23.4
2014 01 23 03       15.3
2014 01 23 04       15.7
2014 01 23 05       16.6
2014 01 23 06       21.0
2014 01 23 07       26.1
2014 01 23 08       36.1
2014 01 23 09       43.5
2014 01 23 10       45.1
2014 01 23 11       43.1
2014 01 23 12       45.3
2014 01 23 13       39.4
2014 01 23 14       33.9
2014 01 23 15       30.9
2014 01 23 16       28.9
2014 01 23 17       38.1
2014 01 23 18       46.1
2014 01 23 19       45.6
2014 01 23 20       53.3
2014 01 23 21       49.6
2014 01 23 22       43.2
2014 01 23 23       36.3
2014 01 24 00       33.5
2014 01 24 01       33.0
2014 01 24 02       27.0
2014 01 24 03       26.1
2014 01 24 04       22.6
2014 01 24 05       18.8
2014 01 24 06       18.9
2014 01 24 07       22.8
2014 01 24 08       37.7
2014 01 24 09       36.9
2014 01 24 10       38.0
2014 01 24 11       31.8
2014 01 24 12       35.7
2014 01 24 13       35.6
2014 01 24 14       33.3
2014 01 24 15       34.6
2014 01 24 16       37.4
2014 01 24 17       37.1
2014 01 24 18       35.4
2014 01 24 19       39.9
2014 01 24 20       38.0
2014 01 24 21       33.9
2014 01 24 22       34.2
2014 01 24 23       28.0
2014 01 25 00       28.5
2014 01 25 01       25.0
2014 01 25 02       28.9
2014 01 25 03       32.2
2014 01 25 04       28.5
2014 01 25 05       21.2
2014 01 25 06       17.1
2014 01 25 07       20.1
2014 01 25 08       33.4
2014 01 25 09       49.7
2014 01 25 10       37.8
2014 01 25 11       24.0
2014 01 25 12       23.2
2014 01 25 13       19.9
2014 01 25 14       19.3
2014 01 25 15       18.3
2014 01 25 16       20.2
2014 01 25 17       21.4
2014 01 25 18       24.1
2014 01 25 19       47.9
2014 01 25 20       53.4
2014 01 25 21       43.6
2014 01 25 22       44.6
2014 01 25 23       38.9
2014 01 26 00       36.3
2014 01 26 01       34.1
2014 01 26 02       30.2
2014 01 26 03       29.5
2014 01 26 04       25.4
2014 01 26 05       26.3
2014 01 26 06       28.0
2014 01 26 07       29.5
2014 01 26 08       30.1
2014 01 26 09       27.6
2014 01 26 10       28.7
2014 01 26 11       30.4
2014 01 26 12       27.2
2014 01 26 13       22.3
2014 01 26 14       17.5
2014 01 26 15       17.5
2014 01 26 16       16.5
2014 01 26 17       13.2
2014 01 26 18       39.4
2014 01 26 19       46.1
2014 01 26 20       44.1
2014 01 26 21       42.8
2014 01 26 22       40.6
2014 01 26 23       42.2
2014 01 27 00       43.8
2014 01 27 01       39.6
2014 01 27 02       34.3
2014 01 27 03       30.9
2014 01 27 04       25.0
2014 01 27 05       26.9
2014 01 27 06       31.1
2014 01 27 07       31.9
2014 01 27 08       32.5
