med.orarie NO2 [ug/m3] staz.** PARCO EDILCARANI

aaaa mm gg hh        NO2
2014 01 14 23       33.0
2014 01 15 00       31.0
2014 01 15 01       29.0
2014 01 15 02       26.0
2014 01 15 03       21.0
2014 01 15 04       19.0
2014 01 15 05       17.0
2014 01 15 06       15.0
2014 01 15 07       18.0
2014 01 15 08       20.0
2014 01 15 09       26.0
2014 01 15 10       25.0
2014 01 15 11       20.0
2014 01 15 12       19.0
2014 01 15 13       20.0
2014 01 15 14       19.0
2014 01 15 15       16.0
2014 01 15 16       21.0
2014 01 15 17       32.0
2014 01 15 18       43.0
2014 01 15 19       47.0
2014 01 15 20       50.0
2014 01 15 21       48.0
2014 01 15 22       45.0
2014 01 15 23       36.0
2014 01 16 00       31.0
2014 01 16 01       28.0
2014 01 16 02       24.0
2014 01 16 03       23.0
2014 01 16 04       23.0
2014 01 16 05       26.0
2014 01 16 06       29.0
2014 01 16 07       31.0
2014 01 16 08       39.0
2014 01 16 09       55.0
2014 01 16 10       56.0
2014 01 16 11       55.0
2014 01 16 12       61.0
2014 01 16 13       58.0
2014 01 16 14       53.0
2014 01 16 15       42.0
2014 01 16 16       44.0
2014 01 16 17       44.0
2014 01 16 18       38.0
2014 01 16 19       33.0
2014 01 16 20       33.0
2014 01 16 21       32.0
2014 01 16 22       31.0
2014 01 16 23       31.0
2014 01 17 00       31.0
2014 01 17 01       29.0
2014 01 17 02       29.0
2014 01 17 03       27.0
2014 01 17 04       22.0
2014 01 17 05       25.0
2014 01 17 06       27.0
2014 01 17 07       26.0
2014 01 17 08       28.0
2014 01 17 09       30.0
2014 01 17 10       30.0
2014 01 17 11       27.0
2014 01 17 12       26.0
2014 01 17 13       27.0
2014 01 17 14       31.0
2014 01 17 15       34.0
2014 01 17 16       36.0
2014 01 17 17       34.0
2014 01 17 18       37.0
2014 01 17 19       42.0
2014 01 17 20       39.0
2014 01 17 21       41.0
2014 01 17 22       39.0
2014 01 17 23       39.0
2014 01 18 00       37.0
2014 01 18 01       35.0
2014 01 18 02       34.0
2014 01 18 03       32.0
2014 01 18 04       33.0
2014 01 18 05       36.0
2014 01 18 06       39.0
2014 01 18 07       37.0
2014 01 18 08       40.0
2014 01 18 09       42.0
2014 01 18 10       42.0
2014 01 18 11       40.0
2014 01 18 12       41.0
2014 01 18 13       39.0
2014 01 18 14       37.0
2014 01 18 15       36.0
2014 01 18 16       37.0
2014 01 18 17       39.0
2014 01 18 18       41.0
2014 01 18 19       41.0
2014 01 18 20       41.0
2014 01 18 21       42.0
2014 01 18 22       39.0
2014 01 18 23       39.0
2014 01 19 00       38.0
2014 01 19 01       38.0
2014 01 19 02       40.0
2014 01 19 03       38.0
2014 01 19 04       35.0
2014 01 19 05       33.0
2014 01 19 06       32.0
2014 01 19 07       34.0
2014 01 19 08       35.0
2014 01 19 09       34.0
2014 01 19 10       33.0
2014 01 19 11       33.0
2014 01 19 12       32.0
2014 01 19 13       31.0
2014 01 19 14       31.0
2014 01 19 15       29.0
2014 01 19 16       30.0
2014 01 19 17       29.0
2014 01 19 18       33.0
2014 01 19 19       33.0
2014 01 19 20       35.0
2014 01 19 21       40.0
2014 01 19 22       38.0
2014 01 19 23       34.0
2014 01 20 00       32.0
2014 01 20 01       30.0
2014 01 20 02       31.0
2014 01 20 03       29.0
2014 01 20 04       28.0
2014 01 20 05       28.0
2014 01 20 06       26.0
2014 01 20 07       27.0
2014 01 20 08       29.0
2014 01 20 09       29.0
2014 01 20 10       30.0
2014 01 20 11       26.0
2014 01 20 12       23.0
2014 01 20 13       25.0
2014 01 20 14       27.0
2014 01 20 15       26.0
2014 01 20 16       29.0
2014 01 20 17       33.0
2014 01 20 18       37.0
2014 01 20 19       39.0
2014 01 20 20       37.0
2014 01 20 21       39.0
2014 01 20 22       35.0
2014 01 20 23       31.0
2014 01 21 00       25.0
2014 01 21 01       21.0
2014 01 21 02       18.0
2014 01 21 03       10.0
2014 01 21 04       11.0
2014 01 21 05       11.0
2014 01 21 06       16.0
2014 01 21 07       22.0
2014 01 21 08       33.0
2014 01 21 09       36.0
2014 01 21 10       34.0
2014 01 21 11       35.0
2014 01 21 12       23.0
2014 01 21 13       21.0
2014 01 21 14       21.0
2014 01 21 15       15.0
2014 01 21 16       22.0
2014 01 21 17       26.0
2014 01 21 18       49.0
2014 01 21 19       66.0
2014 01 21 20       56.0
2014 01 21 21       38.0
2014 01 21 22       36.0
2014 01 21 23       28.0
2014 01 22 00       27.0
2014 01 22 01       25.0
2014 01 22 02       21.0
2014 01 22 03       17.0
2014 01 22 04       11.0
2014 01 22 05       18.0
2014 01 22 06       19.0
2014 01 22 07       18.0
2014 01 22 08       23.0
2014 01 22 09       27.0
2014 01 22 10       27.0
2014 01 22 11       27.0
2014 01 22 12       22.0
2014 01 22 13       27.0
2014 01 22 14       32.0
2014 01 22 15       26.0
2014 01 22 16       33.0
2014 01 22 17       46.0
2014 01 22 18       62.0
2014 01 22 19       55.0
2014 01 22 20       52.0
2014 01 22 21       47.0
2014 01 22 22       38.0
2014 01 22 23       30.0
2014 01 23 00       24.0
2014 01 23 01       19.0
2014 01 23 02       15.0
2014 01 23 03       15.0
2014 01 23 04       17.0
2014 01 23 05       17.0
2014 01 23 06       18.0
2014 01 23 07       19.0
2014 01 23 08       26.0
2014 01 23 09       34.0
2014 01 23 10       26.0
2014 01 23 11       23.0
2014 01 23 12       22.0
2014 01 23 13       25.0
2014 01 23 14       40.0
2014 01 23 15       34.0
2014 01 23 16       50.0
2014 01 23 17       63.0
2014 01 23 18       66.0
2014 01 23 19       73.0
2014 01 23 20       74.0
2014 01 23 21       58.0
2014 01 23 22       46.0
2014 01 23 23       38.0
2014 01 24 00       30.0
2014 01 24 01       25.0
2014 01 24 02       25.0
2014 01 24 03       21.0
2014 01 24 04       20.0
2014 01 24 05       18.0
2014 01 24 06       16.0
2014 01 24 07       22.0
2014 01 24 08       31.0
2014 01 24 09       39.0
2014 01 24 10       35.0
2014 01 24 11       36.0
2014 01 24 12       37.0
2014 01 24 13       34.0
2014 01 24 14       40.0
2014 01 24 15       43.0
2014 01 24 16       41.0
2014 01 24 17       44.0
2014 01 24 18       39.0
2014 01 24 19       47.0
2014 01 24 20       46.0
2014 01 24 21       28.0
2014 01 24 22       35.0
2014 01 24 23       29.0
2014 01 25 00       27.0
2014 01 25 01       24.0
2014 01 25 02       22.0
2014 01 25 03       18.0
2014 01 25 04       20.0
2014 01 25 05       21.0
2014 01 25 06       23.0
2014 01 25 07       22.0
2014 01 25 08       29.0
2014 01 25 09       29.0
2014 01 25 10       24.0
2014 01 25 11       21.0
2014 01 25 12       22.0
2014 01 25 13       18.0
2014 01 25 14       15.0
2014 01 25 15       10.0
2014 01 25 16       10.0
2014 01 25 17       24.0
2014 01 25 18       64.0
2014 01 25 19       76.0
2014 01 25 20       43.0
2014 01 25 21       31.0
2014 01 25 22       25.0
2014 01 25 23       23.0
2014 01 26 00       19.0
2014 01 26 01       17.0
2014 01 26 02       16.0
2014 01 26 03       15.0
2014 01 26 04       14.0
2014 01 26 05       14.0
2014 01 26 06       14.0
2014 01 26 07       19.0
2014 01 26 08       27.0
2014 01 26 09       35.0
2014 01 26 10       27.0
2014 01 26 11       27.0
2014 01 26 12       21.0
2014 01 26 13       22.0
2014 01 26 14       13.0
2014 01 26 15       13.0
2014 01 26 16       14.0
2014 01 26 17       15.0
2014 01 26 18       45.0
2014 01 26 19       43.0
2014 01 26 20       26.0
2014 01 26 21       25.0
2014 01 26 22       21.0
2014 01 26 23       18.0
2014 01 27 00       13.0
2014 01 27 01       13.0
2014 01 27 02       17.0
2014 01 27 03       15.0
2014 01 27 04       46.0
2014 01 27 05       43.0
2014 01 27 06       41.0
2014 01 27 07       43.0
2014 01 27 08       42.0
2014 01 27 09       43.0
2014 01 27 10       43.0
2014 01 27 11       43.0
2014 01 27 12       38.0
2014 01 27 13       32.0
2014 01 27 14       30.0
2014 01 27 15       35.0
2014 01 27 16       35.0
2014 01 27 17       34.0
2014 01 27 18       36.0
2014 01 27 19       43.0
2014 01 27 20       48.0
2014 01 27 21       44.0
2014 01 27 22       40.0
2014 01 27 23       39.0
2014 01 28 00       31.0
2014 01 28 01       12.0
2014 01 28 02       10.0
2014 01 28 03        9.0
2014 01 28 04        9.0
2014 01 28 05       10.0
2014 01 28 06       15.0
2014 01 28 07       13.0
2014 01 28 08       20.0
2014 01 28 09       25.0
2014 01 28 10       26.0
2014 01 28 11       31.0
2014 01 28 12       34.0
2014 01 28 13       37.0
2014 01 28 14       32.0
2014 01 28 15       24.0
2014 01 28 16       31.0
2014 01 28 17       35.0
2014 01 28 18       33.0
2014 01 28 19       32.0
2014 01 28 20       42.0
2014 01 28 21       42.0
2014 01 28 22       32.0
2014 01 28 23       25.0
2014 01 29 00       19.0
2014 01 29 01       20.0
2014 01 29 02       17.0
2014 01 29 03       12.0
2014 01 29 04       19.0
2014 01 29 05       15.0
2014 01 29 06       16.0
2014 01 29 07       19.0
2014 01 29 08       28.0
2014 01 29 09       41.0
2014 01 29 10       35.0
2014 01 29 11       30.0
2014 01 29 12       37.0
2014 01 29 13       43.0
2014 01 29 14       51.0
2014 01 29 15       41.0
2014 01 29 16       48.0
2014 01 29 17       62.0
2014 01 29 18       59.0
2014 01 29 19       67.0
2014 01 29 20       54.0
2014 01 29 21       41.0
2014 01 29 22       38.0
2014 01 29 23       42.0
2014 01 30 00       25.0
2014 01 30 01       27.0
2014 01 30 02       28.0
2014 01 30 03       24.0
2014 01 30 04       19.0
2014 01 30 05       20.0
2014 01 30 06       22.0
2014 01 30 07       20.0
2014 01 30 08       25.0
2014 01 30 09       41.0
2014 01 30 10       55.0
2014 01 30 11       53.0
2014 01 30 12       47.0
2014 01 30 13       44.0
2014 01 30 14       46.0
2014 01 30 15       45.0
2014 01 30 16       47.0
2014 01 30 17       50.0
2014 01 30 18       56.0
2014 01 30 19       59.0
2014 01 30 20       54.0
2014 01 30 21       51.0
2014 01 30 22       44.0
2014 01 30 23       39.0
2014 01 31 00       37.0
2014 01 31 01       38.0
2014 01 31 02       39.0
2014 01 31 03       38.0
2014 01 31 04       33.0
2014 01 31 05       31.0
2014 01 31 06       31.0
2014 01 31 07       34.0
2014 01 31 08       34.0
2014 01 31 09       36.0
2014 01 31 10       34.0
2014 01 31 11       29.0
2014 01 31 12       29.0
2014 01 31 13       29.0
2014 01 31 14       33.0
2014 01 31 15       37.0
2014 01 31 16       39.0
2014 01 31 17       40.0
2014 01 31 18       42.0
2014 01 31 19       46.0
2014 01 31 20       43.0
2014 01 31 21       42.0
2014 01 31 22       28.0
2014 01 31 23       22.0
2014 02 01 00       22.0
2014 02 01 01       20.0
2014 02 01 02       26.0
2014 02 01 03       30.0
2014 02 01 04       28.0
2014 02 01 05       29.0
2014 02 01 06       28.0
2014 02 01 07       28.0
2014 02 01 08       29.0
2014 02 01 09       30.0
2014 02 01 10       25.0
2014 02 01 11       25.0
2014 02 01 12       27.0
2014 02 01 13       25.0
2014 02 01 14       27.0
2014 02 01 15       30.0
2014 02 01 16       32.0
2014 02 01 17       36.0
2014 02 01 18       38.0
2014 02 01 19       44.0
2014 02 01 20       42.0
2014 02 01 21       40.0
2014 02 01 22       40.0
2014 02 01 23       38.0
2014 02 02 00       38.0
2014 02 02 01       36.0
2014 02 02 02       37.0
2014 02 02 03       36.0
2014 02 02 04       35.0
2014 02 02 05       34.0
2014 02 02 06       28.0
2014 02 02 07       28.0
2014 02 02 08       28.0
2014 02 02 09       27.0
2014 02 02 10       22.0
2014 02 02 11       22.0
2014 02 02 12       20.0
2014 02 02 13       19.0
2014 02 02 14       18.0
2014 02 02 15       20.0
2014 02 02 16       19.0
2014 02 02 17       23.0
2014 02 02 18       29.0
2014 02 02 19       32.0
2014 02 02 20       31.0
2014 02 02 21       27.0
2014 02 02 22       22.0
2014 02 02 23       20.0
2014 02 03 00       24.0
2014 02 03 01       23.0
2014 02 03 02       22.0
2014 02 03 03       21.0
2014 02 03 04       17.0
2014 02 03 05       17.0
2014 02 03 06       15.0
2014 02 03 07       21.0
2014 02 03 08       24.0
2014 02 03 09       42.0
2014 02 03 10       43.0
2014 02 03 11       39.0
2014 02 03 12       39.0
2014 02 03 13       37.0
2014 02 03 14       31.0
2014 02 03 15       30.0
2014 02 03 16       34.0
2014 02 03 17       36.0
2014 02 03 18       35.0
2014 02 03 19       40.0
2014 02 03 20       42.0
2014 02 03 21       41.0
2014 02 03 22       36.0
2014 02 03 23       32.0
2014 02 04 00       24.0
2014 02 04 01       19.0
2014 02 04 02       21.0
2014 02 04 03       18.0
2014 02 04 04       14.0
2014 02 04 05       20.0
2014 02 04 06       21.0
2014 02 04 07       20.0
2014 02 04 08       29.0
2014 02 04 09       41.0
2014 02 04 10       43.0
2014 02 04 11    -9999.0
2014 02 04 12    -9999.0
2014 02 04 13    -9999.0
2014 02 04 14    -9999.0
2014 02 04 15       37.0
2014 02 04 16       39.0
2014 02 04 17       49.0
2014 02 04 18       53.0
2014 02 04 19       56.0
2014 02 04 20       55.0
2014 02 04 21       54.0
2014 02 04 22       48.0
2014 02 04 23       46.0
2014 02 05 00       43.0
2014 02 05 01       43.0
2014 02 05 02       42.0
2014 02 05 03       38.0
2014 02 05 04       36.0
2014 02 05 05       37.0
2014 02 05 06       32.0
2014 02 05 07       32.0
2014 02 05 08       36.0
2014 02 05 09       38.0
2014 02 05 10       27.0
2014 02 05 11       21.0
2014 02 05 12       23.0
2014 02 05 13       41.0
2014 02 05 14       42.0
2014 02 05 15       37.0
2014 02 05 16       42.0
2014 02 05 17       42.0
2014 02 05 18       45.0
2014 02 05 19       41.0
2014 02 05 20       43.0
2014 02 05 21       40.0
2014 02 05 22       16.0
2014 02 05 23       12.0
2014 02 06 00        7.0
2014 02 06 01       16.0
2014 02 06 02       22.0
2014 02 06 03       21.0
2014 02 06 04       28.0
2014 02 06 05       25.0
2014 02 06 06       17.0
2014 02 06 07       19.0
2014 02 06 08       18.0
2014 02 06 09       28.0
2014 02 06 10       35.0
2014 02 06 11       23.0
2014 02 06 12       16.0
2014 02 06 13       18.0
2014 02 06 14       15.0
2014 02 06 15       15.0
2014 02 06 16       22.0
2014 02 06 17       25.0
2014 02 06 18       39.0
2014 02 06 19       49.0
2014 02 06 20       65.0
2014 02 06 21       59.0
2014 02 06 22       43.0
2014 02 06 23       21.0
2014 02 07 00       17.0
2014 02 07 01       17.0
2014 02 07 02       14.0
2014 02 07 03       14.0
2014 02 07 04       12.0
2014 02 07 05       14.0
2014 02 07 06       18.0
2014 02 07 07       21.0
2014 02 07 08       22.0
2014 02 07 09       28.0
2014 02 07 10       20.0
2014 02 07 11       21.0
2014 02 07 12       65.0
2014 02 07 13       68.0
2014 02 07 14       48.0
2014 02 07 15       44.0
2014 02 07 16       33.0
2014 02 07 17       55.0
2014 02 07 18       54.0
2014 02 07 19       73.0
2014 02 07 20       58.0
2014 02 07 21       45.0
2014 02 07 22       44.0
2014 02 07 23       39.0
2014 02 08 00       39.0
2014 02 08 01       44.0
2014 02 08 02       43.0
2014 02 08 03       39.0
2014 02 08 04       34.0
2014 02 08 05       34.0
2014 02 08 06       33.0
2014 02 08 07       36.0
2014 02 08 08       32.0
2014 02 08 09       32.0
2014 02 08 10       29.0
2014 02 08 11       24.0
2014 02 08 12       23.0
2014 02 08 13       27.0
2014 02 08 14       28.0
2014 02 08 15       36.0
2014 02 08 16       36.0
2014 02 08 17       42.0
2014 02 08 18       44.0
2014 02 08 19       48.0
2014 02 08 20       55.0
2014 02 08 21       48.0
2014 02 08 22       61.0
2014 02 08 23       62.0
2014 02 09 00       53.0
2014 02 09 01       43.0
2014 02 09 02       41.0
2014 02 09 03       36.0
2014 02 09 04       27.0
2014 02 09 05       27.0
2014 02 09 06       27.0
2014 02 09 07       26.0
2014 02 09 08       29.0
2014 02 09 09       28.0
2014 02 09 10       23.0
2014 02 09 11       21.0
2014 02 09 12       16.0
2014 02 09 13       13.0
2014 02 09 14       11.0
2014 02 09 15       13.0
2014 02 09 16       15.0
