med.orarie NO2 [ug/m3] staz.** OSTELLATO

aaaa mm gg hh        NO2
2014 01 14 07       26.0
2014 01 14 08       13.0
2014 01 14 09       10.0
2014 01 14 10       11.0
2014 01 14 11       13.0
2014 01 14 12       16.0
2014 01 14 13       18.0
2014 01 14 14       16.0
2014 01 14 15       28.0
2014 01 14 16       23.0
2014 01 14 17       28.0
2014 01 14 18       31.0
2014 01 14 19       33.0
2014 01 14 20       32.0
2014 01 14 21       33.0
2014 01 14 22       35.0
2014 01 14 23       36.0
2014 01 15 00       37.0
2014 01 15 01       35.0
2014 01 15 02       34.0
2014 01 15 03    -9999.0
2014 01 15 04       24.0
2014 01 15 05       25.0
2014 01 15 06       24.0
2014 01 15 07       25.0
2014 01 15 08       25.0
2014 01 15 09       24.0
2014 01 15 10       25.0
2014 01 15 11       19.0
2014 01 15 12       16.0
2014 01 15 13       14.0
2014 01 15 14       17.0
2014 01 15 15       18.0
2014 01 15 16       18.0
2014 01 15 17       20.0
2014 01 15 18       20.0
2014 01 15 19       20.0
2014 01 15 20       21.0
2014 01 15 21       22.0
2014 01 15 22       24.0
2014 01 15 23       26.0
2014 01 16 00       23.0
2014 01 16 01       28.0
2014 01 16 02       30.0
2014 01 16 03    -9999.0
2014 01 16 04       25.0
2014 01 16 05       25.0
2014 01 16 06       24.0
2014 01 16 07       22.0
2014 01 16 08       21.0
2014 01 16 09       19.0
2014 01 16 10       22.0
2014 01 16 11       21.0
2014 01 16 12       20.0
2014 01 16 13       19.0
2014 01 16 14       19.0
2014 01 16 15       22.0
2014 01 16 16       25.0
2014 01 16 17       26.0
2014 01 16 18       28.0
2014 01 16 19       26.0
2014 01 16 20       24.0
2014 01 16 21       23.0
2014 01 16 22       17.0
2014 01 16 23       18.0
2014 01 17 00       21.0
2014 01 17 01       19.0
2014 01 17 02       16.0
2014 01 17 03    -9999.0
2014 01 17 04       10.0
2014 01 17 05       12.0
2014 01 17 06       11.0
2014 01 17 07        9.0
2014 01 17 08       10.0
2014 01 17 09       15.0
2014 01 17 10       17.0
2014 01 17 11       13.0
2014 01 17 12       16.0
2014 01 17 13       16.0
2014 01 17 14       10.0
2014 01 17 15       18.0
2014 01 17 16       33.0
2014 01 17 17       32.0
2014 01 17 18       33.0
2014 01 17 19       35.0
2014 01 17 20       38.0
2014 01 17 21       39.0
2014 01 17 22       40.0
2014 01 17 23       40.0
2014 01 18 00       40.0
2014 01 18 01       40.0
2014 01 18 02       41.0
2014 01 18 03    -9999.0
2014 01 18 04       39.0
2014 01 18 05       39.0
2014 01 18 06       39.0
2014 01 18 07       41.0
2014 01 18 08       41.0
2014 01 18 09       40.0
2014 01 18 10       38.0
2014 01 18 11       36.0
2014 01 18 12       37.0
2014 01 18 13       37.0
2014 01 18 14       37.0
2014 01 18 15       36.0
2014 01 18 16       37.0
2014 01 18 17       39.0
2014 01 18 18       42.0
2014 01 18 19       41.0
2014 01 18 20       38.0
2014 01 18 21       39.0
2014 01 18 22       40.0
2014 01 18 23       37.0
2014 01 19 00       36.0
2014 01 19 01       35.0
2014 01 19 02       33.0
2014 01 19 03    -9999.0
2014 01 19 04       35.0
2014 01 19 05       34.0
2014 01 19 06       33.0
2014 01 19 07       33.0
2014 01 19 08       35.0
2014 01 19 09       32.0
2014 01 19 10       31.0
2014 01 19 11       32.0
2014 01 19 12       32.0
2014 01 19 13       32.0
2014 01 19 14       33.0
2014 01 19 15       34.0
2014 01 19 16       35.0
2014 01 19 17       35.0
2014 01 19 18       28.0
2014 01 19 19       36.0
2014 01 19 20       34.0
2014 01 19 21       31.0
2014 01 19 22       33.0
2014 01 19 23       34.0
2014 01 20 00       34.0
2014 01 20 01       30.0
2014 01 20 02       28.0
2014 01 20 03    -9999.0
2014 01 20 04       29.0
2014 01 20 05       30.0
2014 01 20 06       32.0
2014 01 20 07       33.0
2014 01 20 08       32.0
2014 01 20 09       32.0
2014 01 20 10       32.0
2014 01 20 11       33.0
2014 01 20 12       31.0
2014 01 20 13       28.0
2014 01 20 14       27.0
2014 01 20 15       26.0
2014 01 20 16       30.0
2014 01 20 17       34.0
2014 01 20 18       37.0
2014 01 20 19       39.0
2014 01 20 20       39.0
2014 01 20 21       37.0
2014 01 20 22       34.0
2014 01 20 23       32.0
2014 01 21 00       34.0
2014 01 21 01       35.0
2014 01 21 02       35.0
2014 01 21 03    -9999.0
2014 01 21 04       38.0
2014 01 21 05       39.0
2014 01 21 06       40.0
2014 01 21 07       39.0
2014 01 21 08       37.0
2014 01 21 09       38.0
2014 01 21 10       39.0
2014 01 21 11       36.0
2014 01 21 12       29.0
2014 01 21 13       25.0
2014 01 21 14       25.0
2014 01 21 15       25.0
2014 01 21 16       31.0
2014 01 21 17       38.0
2014 01 21 18       39.0
2014 01 21 19       36.0
2014 01 21 20       32.0
2014 01 21 21       29.0
2014 01 21 22       28.0
2014 01 21 23       25.0
2014 01 22 00       26.0
2014 01 22 01       30.0
2014 01 22 02       29.0
2014 01 22 03    -9999.0
2014 01 22 04       24.0
2014 01 22 05       23.0
2014 01 22 06       25.0
2014 01 22 07       26.0
2014 01 22 08       26.0
2014 01 22 09       30.0
2014 01 22 10       35.0
2014 01 22 11       37.0
2014 01 22 12       42.0
2014 01 22 13       41.0
2014 01 22 14       35.0
2014 01 22 15       39.0
2014 01 22 16       37.0
2014 01 22 17       26.0
2014 01 22 18       29.0
2014 01 22 19       32.0
2014 01 22 20       31.0
2014 01 22 21       27.0
2014 01 22 22       26.0
2014 01 22 23       37.0
2014 01 23 00       34.0
2014 01 23 01       35.0
2014 01 23 02       32.0
2014 01 23 03    -9999.0
2014 01 23 04       27.0
2014 01 23 05       33.0
2014 01 23 06       33.0
2014 01 23 07       32.0
2014 01 23 08       33.0
2014 01 23 09       32.0
2014 01 23 10       29.0
2014 01 23 11       33.0
2014 01 23 12       34.0
2014 01 23 13       31.0
2014 01 23 14       28.0
2014 01 23 15       24.0
2014 01 23 16       27.0
2014 01 23 17       36.0
2014 01 23 18       30.0
2014 01 23 19       26.0
2014 01 23 20       30.0
2014 01 23 21       30.0
2014 01 23 22       38.0
2014 01 23 23       36.0
2014 01 24 00       27.0
2014 01 24 01       23.0
2014 01 24 02       21.0
2014 01 24 03    -9999.0
2014 01 24 04       17.0
2014 01 24 05       21.0
2014 01 24 06       18.0
2014 01 24 07       27.0
2014 01 24 08       33.0
2014 01 24 09       40.0
2014 01 24 10       36.0
2014 01 24 11       30.0
2014 01 24 12       28.0
2014 01 24 13       27.0
2014 01 24 14       20.0
2014 01 24 15       19.0
2014 01 24 16       24.0
2014 01 24 17       13.0
2014 01 24 18        9.0
2014 01 24 19       11.0
2014 01 24 20       10.0
2014 01 24 21        9.0
2014 01 24 22       14.0
2014 01 24 23       21.0
2014 01 25 00       22.0
2014 01 25 01       26.0
2014 01 25 02       31.0
2014 01 25 03    -9999.0
2014 01 25 04       28.0
2014 01 25 05       26.0
2014 01 25 06       25.0
2014 01 25 07       23.0
2014 01 25 08       30.0
2014 01 25 09       32.0
2014 01 25 10       36.0
2014 01 25 11       35.0
2014 01 25 12       29.0
2014 01 25 13       21.0
2014 01 25 14       15.0
2014 01 25 15       13.0
2014 01 25 16       13.0
2014 01 25 17       13.0
2014 01 25 18       18.0
2014 01 25 19       15.0
2014 01 25 20       14.0
2014 01 25 21       16.0
2014 01 25 22       14.0
2014 01 25 23       22.0
2014 01 26 00       30.0
2014 01 26 01       27.0
2014 01 26 02       24.0
2014 01 26 03    -9999.0
2014 01 26 04       19.0
2014 01 26 05       18.0
2014 01 26 06       18.0
2014 01 26 07       19.0
2014 01 26 08       20.0
2014 01 26 09       33.0
2014 01 26 10       30.0
2014 01 26 11       27.0
2014 01 26 12       30.0
2014 01 26 13       28.0
2014 01 26 14       25.0
2014 01 26 15       21.0
2014 01 26 16       16.0
2014 01 26 17       15.0
2014 01 26 18       23.0
2014 01 26 19       38.0
2014 01 26 20       24.0
2014 01 26 21       21.0
2014 01 26 22       18.0
2014 01 26 23       19.0
2014 01 27 00       32.0
2014 01 27 01       33.0
2014 01 27 02       25.0
2014 01 27 03    -9999.0
2014 01 27 04       19.0
2014 01 27 05       17.0
2014 01 27 06       19.0
2014 01 27 07       18.0
2014 01 27 08       21.0
2014 01 27 09       29.0
2014 01 27 10       29.0
2014 01 27 11       25.0
2014 01 27 12       22.0
2014 01 27 13       21.0
2014 01 27 14       19.0
2014 01 27 15       21.0
2014 01 27 16       22.0
2014 01 27 17       23.0
2014 01 27 18       25.0
2014 01 27 19       29.0
2014 01 27 20       24.0
2014 01 27 21       19.0
2014 01 27 22       13.0
2014 01 27 23        7.0
2014 01 28 00        5.0
2014 01 28 01        4.0
2014 01 28 02        5.0
2014 01 28 03    -9999.0
2014 01 28 04        5.0
2014 01 28 05        5.0
2014 01 28 06        9.0
2014 01 28 07        8.0
2014 01 28 08       11.0
2014 01 28 09       14.0
2014 01 28 10       15.0
2014 01 28 11       18.0
2014 01 28 12       25.0
2014 01 28 13       26.0
2014 01 28 14       22.0
2014 01 28 15       18.0
2014 01 28 16       21.0
2014 01 28 17       28.0
2014 01 28 18       33.0
2014 01 28 19       34.0
2014 01 28 20       33.0
2014 01 28 21       34.0
2014 01 28 22       20.0
2014 01 28 23       18.0
2014 01 29 00       22.0
2014 01 29 01       24.0
2014 01 29 02       34.0
2014 01 29 03    -9999.0
2014 01 29 04       45.0
2014 01 29 05       44.0
2014 01 29 06       40.0
2014 01 29 07       37.0
2014 01 29 08       34.0
2014 01 29 09       38.0
2014 01 29 10       33.0
2014 01 29 11       26.0
2014 01 29 12       15.0
2014 01 29 13       10.0
2014 01 29 14        9.0
2014 01 29 15        8.0
2014 01 29 16       10.0
2014 01 29 17       17.0
2014 01 29 18       20.0
2014 01 29 19       18.0
2014 01 29 20       10.0
2014 01 29 21        9.0
2014 01 29 22    -9999.0
2014 01 29 23    -9999.0
2014 01 30 00        9.0
2014 01 30 01        9.0
2014 01 30 02        7.0
2014 01 30 03    -9999.0
2014 01 30 04        6.0
2014 01 30 05        5.0
2014 01 30 06        6.0
2014 01 30 07        7.0
2014 01 30 08        9.0
2014 01 30 09       11.0
2014 01 30 10       10.0
2014 01 30 11       11.0
2014 01 30 12       14.0
2014 01 30 13       21.0
2014 01 30 14       20.0
2014 01 30 15       18.0
2014 01 30 16       23.0
2014 01 30 17       23.0
2014 01 30 18       16.0
2014 01 30 19       16.0
2014 01 30 20       17.0
2014 01 30 21       19.0
2014 01 30 22       22.0
2014 01 30 23       23.0
2014 01 31 00       23.0
2014 01 31 01       23.0
2014 01 31 02       17.0
