med.orarie NO2 [ug/m3] staz.** CORTE BRUGNATELLA

aaaa mm gg hh        NO2
2014 01 28 10        4.0
2014 01 28 11        3.0
2014 01 28 12        3.0
2014 01 28 13        2.0
2014 01 28 14        2.0
2014 01 28 15        2.0
2014 01 28 16        3.0
2014 01 28 17        4.0
2014 01 28 18        4.0
2014 01 28 19        1.0
2014 01 28 20        1.0
2014 01 28 21        1.0
2014 01 28 22        1.0
2014 01 28 23        0.0
2014 01 29 00        0.0
2014 01 29 01        0.0
2014 01 29 02        0.0
2014 01 29 03    -9999.0
2014 01 29 04        1.0
2014 01 29 05        0.0
2014 01 29 06        0.0
2014 01 29 07        0.0
2014 01 29 08        1.0
2014 01 29 09        1.0
2014 01 29 10        2.0
2014 01 29 11        1.0
2014 01 29 12        1.0
2014 01 29 13        3.0
2014 01 29 14        4.0
2014 01 29 15        9.0
2014 01 29 16       19.0
2014 01 29 17       34.0
2014 01 29 18       46.0
2014 01 29 19       41.0
2014 01 29 20       34.0
2014 01 29 21       27.0
2014 01 29 22       21.0
2014 01 29 23       28.0
2014 01 30 00       35.0
2014 01 30 01       31.0
2014 01 30 02       37.0
2014 01 30 03    -9999.0
2014 01 30 04       20.0
2014 01 30 05       14.0
2014 01 30 06       12.0
2014 01 30 07       12.0
2014 01 30 08        9.0
2014 01 30 09        8.0
2014 01 30 10        7.0
2014 01 30 11        7.0
2014 01 30 12        7.0
2014 01 30 13        5.0
2014 01 30 14        6.0
2014 01 30 15        7.0
2014 01 30 16        8.0
2014 01 30 17       10.0
2014 01 30 18       16.0
2014 01 30 19       15.0
2014 01 30 20       11.0
2014 01 30 21       12.0
2014 01 30 22       16.0
2014 01 30 23       15.0
2014 01 31 00       13.0
2014 01 31 01       16.0
2014 01 31 02       17.0
2014 01 31 03    -9999.0
2014 01 31 04       22.0
2014 01 31 05       12.0
2014 01 31 06        7.0
2014 01 31 07        1.0
2014 01 31 08       16.0
2014 01 31 09       12.0
2014 01 31 10        9.0
2014 01 31 11        7.0
2014 01 31 12        7.0
2014 01 31 13        5.0
2014 01 31 14        6.0
2014 01 31 15        6.0
2014 01 31 16        8.0
2014 01 31 17       12.0
2014 01 31 18       15.0
2014 01 31 19       11.0
2014 01 31 20        8.0
2014 01 31 21        7.0
2014 01 31 22        6.0
2014 01 31 23        5.0
2014 02 01 00        6.0
2014 02 01 01        5.0
2014 02 01 02        8.0
2014 02 01 03    -9999.0
2014 02 01 04       13.0
2014 02 01 05       14.0
2014 02 01 06       14.0
2014 02 01 07       15.0
2014 02 01 08       17.0
2014 02 01 09       17.0
2014 02 01 10       17.0
2014 02 01 11       14.0
2014 02 01 12       16.0
2014 02 01 13       15.0
2014 02 01 14       14.0
2014 02 01 15       13.0
2014 02 01 16       12.0
2014 02 01 17       14.0
2014 02 01 18       14.0
2014 02 01 19       15.0
2014 02 01 20       17.0
2014 02 01 21       17.0
2014 02 01 22       14.0
2014 02 01 23       14.0
2014 02 02 00        8.0
2014 02 02 01        4.0
2014 02 02 02        2.0
