med.orarie NO2 [ug/m3] staz.** SAN CLEMENTE

aaaa mm gg hh        NO2
2014 01 31 19       33.0
2014 01 31 20       32.0
2014 01 31 21       30.0
2014 01 31 22       29.0
2014 01 31 23       27.0
2014 02 01 00       30.0
2014 02 01 01       31.0
2014 02 01 02       25.0
2014 02 01 03       22.0
2014 02 01 04       18.0
2014 02 01 05       17.0
2014 02 01 06       18.0
2014 02 01 07       19.0
2014 02 01 08       20.0
2014 02 01 09       21.0
2014 02 01 10       17.0
2014 02 01 11       14.0
2014 02 01 12       18.0
2014 02 01 13       17.0
2014 02 01 14       18.0
2014 02 01 15       18.0
2014 02 01 16       21.0
2014 02 01 17       24.0
2014 02 01 18       30.0
2014 02 01 19       30.0
2014 02 01 20       28.0
2014 02 01 21       27.0
2014 02 01 22       25.0
2014 02 01 23       22.0
2014 02 02 00       14.0
2014 02 02 01       14.0
2014 02 02 02        6.0
2014 02 02 03        5.0
2014 02 02 04        5.0
2014 02 02 05        6.0
2014 02 02 06        8.0
2014 02 02 07        7.0
2014 02 02 08       15.0
2014 02 02 09       14.0
2014 02 02 10       15.0
2014 02 02 11       17.0
2014 02 02 12       18.0
2014 02 02 13       20.0
2014 02 02 14       17.0
2014 02 02 15       14.0
2014 02 02 16       15.0
2014 02 02 17       17.0
2014 02 02 18       20.0
2014 02 02 19       20.0
2014 02 02 20       18.0
2014 02 02 21       17.0
2014 02 02 22       20.0
2014 02 02 23       21.0
2014 02 03 00       18.0
2014 02 03 01       15.0
2014 02 03 02       15.0
2014 02 03 03       15.0
2014 02 03 04       15.0
2014 02 03 05       18.0
2014 02 03 06       16.0
2014 02 03 07       15.0
2014 02 03 08       14.0
2014 02 03 09       14.0
2014 02 03 10       14.0
2014 02 03 11       12.0
2014 02 03 12       11.0
2014 02 03 13       10.0
2014 02 03 14       15.0
2014 02 03 15       20.0
2014 02 03 16       22.0
2014 02 03 17       24.0
2014 02 03 18       27.0
2014 02 03 19       28.0
2014 02 03 20       28.0
2014 02 03 21       28.0
2014 02 03 22       28.0
2014 02 03 23       28.0
2014 02 04 00       28.0
2014 02 04 01       30.0
2014 02 04 02       29.0
2014 02 04 03       21.0
2014 02 04 04       18.0
2014 02 04 05       18.0
2014 02 04 06       17.0
2014 02 04 07       18.0
2014 02 04 08       23.0
2014 02 04 09       21.0
2014 02 04 10       15.0
2014 02 04 11       24.0
2014 02 04 12       30.0
2014 02 04 13       29.0
2014 02 04 14       28.0
2014 02 04 15       25.0
2014 02 04 16       24.0
2014 02 04 17       25.0
2014 02 04 18       26.0
2014 02 04 19       27.0
2014 02 04 20       29.0
2014 02 04 21       30.0
2014 02 04 22       29.0
2014 02 04 23       28.0
2014 02 05 00       25.0
2014 02 05 01       27.0
2014 02 05 02       20.0
2014 02 05 03       12.0
2014 02 05 04        8.0
2014 02 05 05        6.0
2014 02 05 06        4.0
2014 02 05 07        5.0
2014 02 05 08        5.0
2014 02 05 09        6.0
2014 02 05 10        6.0
2014 02 05 11        2.0
2014 02 05 12        1.0
2014 02 05 13        3.0
2014 02 05 14        3.0
2014 02 05 15        3.0
2014 02 05 16        3.0
2014 02 05 17        4.0
2014 02 05 18        3.0
2014 02 05 19        3.0
2014 02 05 20        4.0
2014 02 05 21       10.0
2014 02 05 22        5.0
2014 02 05 23        2.0
2014 02 06 00        3.0
2014 02 06 01        4.0
2014 02 06 02        2.0
2014 02 06 03        3.0
2014 02 06 04        5.0
2014 02 06 05        6.0
2014 02 06 06        8.0
2014 02 06 07        7.0
2014 02 06 08        5.0
2014 02 06 09        8.0
2014 02 06 10        5.0
2014 02 06 11        3.0
2014 02 06 12        4.0
2014 02 06 13        6.0
2014 02 06 14        7.0
2014 02 06 15        9.0
2014 02 06 16        8.0
2014 02 06 17       10.0
2014 02 06 18       14.0
2014 02 06 19       22.0
2014 02 06 20       23.0
2014 02 06 21       18.0
2014 02 06 22       14.0
2014 02 06 23        9.0
2014 02 07 00        5.0
2014 02 07 01        5.0
2014 02 07 02        5.0
2014 02 07 03        3.0
2014 02 07 04        4.0
2014 02 07 05        3.0
2014 02 07 06        2.0
2014 02 07 07        2.0
2014 02 07 08        5.0
2014 02 07 09       11.0
2014 02 07 10        7.0
2014 02 07 11        2.0
2014 02 07 12        2.0
2014 02 07 13        1.0
2014 02 07 14        1.0
2014 02 07 15        2.0
2014 02 07 16        3.0
2014 02 07 17        4.0
2014 02 07 18        8.0
2014 02 07 19        4.0
2014 02 07 20        2.0
2014 02 07 21        3.0
2014 02 07 22        2.0
2014 02 07 23        1.0
2014 02 08 00        1.0
2014 02 08 01        2.0
2014 02 08 02        2.0
2014 02 08 03        3.0
2014 02 08 04       26.0
2014 02 08 05       23.0
2014 02 08 06       22.0
2014 02 08 07       22.0
2014 02 08 08       20.0
2014 02 08 09       16.0
2014 02 08 10       13.0
2014 02 08 11       12.0
2014 02 08 12       14.0
2014 02 08 13       13.0
2014 02 08 14       15.0
2014 02 08 15       17.0
2014 02 08 16       17.0
2014 02 08 17       11.0
2014 02 08 18        3.0
2014 02 08 19        2.0
2014 02 08 20        1.0
2014 02 08 21        1.0
2014 02 08 22        0.0
2014 02 08 23        1.0
2014 02 09 00        0.0
2014 02 09 01        0.0
2014 02 09 02        0.0
2014 02 09 03        0.0
2014 02 09 04        0.0
2014 02 09 05        0.0
2014 02 09 06        0.0
2014 02 09 07        0.0
2014 02 09 08        1.0
2014 02 09 09        1.0
2014 02 09 10        1.0
2014 02 09 11        2.0
2014 02 09 12        4.0
2014 02 09 13       12.0
2014 02 09 14        9.0
2014 02 09 15        5.0
2014 02 09 16        1.0
2014 02 09 17        1.0
2014 02 09 18        2.0
2014 02 09 19        1.0
2014 02 09 20        1.0
2014 02 09 21        0.0
2014 02 09 22        1.0
2014 02 09 23        1.0
2014 02 10 00        1.0
2014 02 10 01        0.0
2014 02 10 02        0.0
2014 02 10 03        1.0
2014 02 10 04        2.0
2014 02 10 05        2.0
2014 02 10 06        4.0
2014 02 10 07        5.0
2014 02 10 08       14.0
2014 02 10 09       12.0
2014 02 10 10        8.0
2014 02 10 11        6.0
2014 02 10 12        4.0
2014 02 10 13        4.0
2014 02 10 14        3.0
2014 02 10 15        4.0
2014 02 10 16        5.0
2014 02 10 17        7.0
2014 02 10 18       13.0
2014 02 10 19       18.0
2014 02 10 20       13.0
2014 02 10 21        3.0
2014 02 10 22        2.0
2014 02 10 23        1.0
2014 02 11 00        1.0
2014 02 11 01        1.0
2014 02 11 02       14.0
2014 02 11 03       11.0
2014 02 11 04       12.0
2014 02 11 05       18.0
2014 02 11 06       15.0
2014 02 11 07       10.0
2014 02 11 08        9.0
2014 02 11 09       10.0
2014 02 11 10       10.0
2014 02 11 11       12.0
2014 02 11 12       13.0
2014 02 11 13       16.0
2014 02 11 14       17.0
2014 02 11 15       24.0
2014 02 11 16       23.0
2014 02 11 17       22.0
2014 02 11 18       27.0
2014 02 11 19       27.0
2014 02 11 20       22.0
2014 02 11 21       18.0
2014 02 11 22       14.0
2014 02 11 23       12.0
2014 02 12 00        8.0
2014 02 12 01        9.0
