med.orarie NO2 [ug/m3] staz.** DELTA CERVIA

aaaa mm gg hh        NO2
2014 01 17 11        8.0
2014 01 17 12       10.0
2014 01 17 13       15.0
2014 01 17 14       15.0
2014 01 17 15       13.0
2014 01 17 16       17.0
2014 01 17 17       31.0
2014 01 17 18       34.0
2014 01 17 19       36.0
2014 01 17 20       36.0
2014 01 17 21       38.0
2014 01 17 22       42.0
2014 01 17 23       42.0
2014 01 18 00       44.0
2014 01 18 01       44.0
2014 01 18 02    -9999.0
2014 01 18 03       48.0
2014 01 18 04       48.0
2014 01 18 05       46.0
2014 01 18 06       44.0
2014 01 18 07       46.0
2014 01 18 08       46.0
2014 01 18 09       46.0
2014 01 18 10       44.0
2014 01 18 11       46.0
2014 01 18 12       44.0
2014 01 18 13       44.0
2014 01 18 14       40.0
2014 01 18 15       40.0
2014 01 18 16       44.0
2014 01 18 17       48.0
2014 01 18 18       48.0
2014 01 18 19       36.0
2014 01 18 20       34.0
2014 01 18 21       31.0
2014 01 18 22       31.0
2014 01 18 23       34.0
2014 01 19 00       42.0
2014 01 19 01       27.0
2014 01 19 02    -9999.0
2014 01 19 03       34.0
2014 01 19 04       36.0
2014 01 19 05       36.0
2014 01 19 06       38.0
2014 01 19 07       38.0
2014 01 19 08       40.0
2014 01 19 09       40.0
2014 01 19 10       38.0
2014 01 19 11       36.0
2014 01 19 12       36.0
2014 01 19 13       34.0
2014 01 19 14       38.0
2014 01 19 15       38.0
2014 01 19 16       38.0
2014 01 19 17       38.0
2014 01 19 18       38.0
2014 01 19 19       38.0
2014 01 19 20       40.0
2014 01 19 21       40.0
2014 01 19 22       46.0
2014 01 19 23       50.0
2014 01 20 00       48.0
2014 01 20 01       40.0
2014 01 20 02    -9999.0
2014 01 20 03       33.0
2014 01 20 04       33.0
2014 01 20 05       34.0
2014 01 20 06       38.0
2014 01 20 07       38.0
2014 01 20 08       38.0
2014 01 20 09       34.0
2014 01 20 10       33.0
2014 01 20 11       31.0
2014 01 20 12       29.0
2014 01 20 13       29.0
2014 01 20 14       29.0
2014 01 20 15       29.0
2014 01 20 16       31.0
2014 01 20 17       33.0
2014 01 20 18       33.0
2014 01 20 19       38.0
2014 01 20 20       40.0
2014 01 20 21       38.0
2014 01 20 22       38.0
2014 01 20 23       36.0
2014 01 21 00       34.0
2014 01 21 01       31.0
2014 01 21 02    -9999.0
2014 01 21 03       34.0
2014 01 21 04       40.0
2014 01 21 05       44.0
2014 01 21 06       46.0
2014 01 21 07       42.0
2014 01 21 08       34.0
2014 01 21 09       33.0
2014 01 21 10       29.0
2014 01 21 11       27.0
2014 01 21 12       23.0
2014 01 21 13       17.0
2014 01 21 14       19.0
2014 01 21 15       21.0
2014 01 21 16       15.0
2014 01 21 17       19.0
2014 01 21 18       31.0
2014 01 21 19       40.0
2014 01 21 20       33.0
2014 01 21 21       33.0
2014 01 21 22       27.0
2014 01 21 23       25.0
2014 01 22 00       21.0
2014 01 22 01       21.0
2014 01 22 02    -9999.0
2014 01 22 03       13.0
2014 01 22 04       11.0
2014 01 22 05       10.0
2014 01 22 06       10.0
2014 01 22 07       11.0
2014 01 22 08       13.0
2014 01 22 09       13.0
2014 01 22 10       27.0
2014 01 22 11       27.0
2014 01 22 12       19.0
2014 01 22 13       21.0
2014 01 22 14       25.0
2014 01 22 15       34.0
2014 01 22 16       31.0
2014 01 22 17       21.0
2014 01 22 18       19.0
2014 01 22 19       29.0
2014 01 22 20       23.0
2014 01 22 21       23.0
2014 01 22 22       33.0
2014 01 22 23       25.0
2014 01 23 00       33.0
2014 01 23 01       34.0
2014 01 23 02    -9999.0
2014 01 23 03       29.0
2014 01 23 04       25.0
2014 01 23 05       23.0
2014 01 23 06       17.0
2014 01 23 07       19.0
2014 01 23 08       21.0
2014 01 23 09       29.0
2014 01 23 10       34.0
2014 01 23 11       34.0
2014 01 23 12       29.0
2014 01 23 13       27.0
2014 01 23 14       31.0
2014 01 23 15       23.0
2014 01 23 16       23.0
2014 01 23 17       21.0
2014 01 23 18       29.0
2014 01 23 19       19.0
2014 01 23 20       11.0
2014 01 23 21       27.0
2014 01 23 22       21.0
2014 01 23 23       21.0
2014 01 24 00       19.0
2014 01 24 01       11.0
2014 01 24 02    -9999.0
2014 01 24 03       11.0
2014 01 24 04       13.0
2014 01 24 05       17.0
2014 01 24 06       11.0
2014 01 24 07       11.0
2014 01 24 08       17.0
2014 01 24 09       21.0
2014 01 24 10       38.0
2014 01 24 11       33.0
2014 01 24 12       36.0
2014 01 24 13       33.0
2014 01 24 14       21.0
2014 01 24 15       21.0
2014 01 24 16       15.0
2014 01 24 17       15.0
2014 01 24 18       15.0
2014 01 24 19       11.0
2014 01 24 20        8.0
2014 01 24 21        8.0
2014 01 24 22       10.0
2014 01 24 23       10.0
2014 01 25 00        6.0
2014 01 25 01        8.0
2014 01 25 02    -9999.0
2014 01 25 03       25.0
2014 01 25 04       27.0
2014 01 25 05       25.0
2014 01 25 06       25.0
2014 01 25 07       25.0
2014 01 25 08       36.0
2014 01 25 09       34.0
2014 01 25 10       33.0
2014 01 25 11       27.0
2014 01 25 12       21.0
2014 01 25 13       13.0
2014 01 25 14        8.0
2014 01 25 15        8.0
2014 01 25 16        8.0
2014 01 25 17       10.0
2014 01 25 18       11.0
2014 01 25 19       25.0
2014 01 25 20       25.0
2014 01 25 21       29.0
2014 01 25 22       44.0
2014 01 25 23       38.0
2014 01 26 00       31.0
2014 01 26 01       27.0
